nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros,imagen
1,Golden Beauty ha tenido resultados sin precedentes esta semana de la Alianza.,2,,,,2,1,0,
2,"Pese a ser un local manejado por una sola persona, es la parada número 1 de criaturas en busca de nuevos estilos.",3,,,,2,1,0,
3,"El dueño, Liam, tiene una capacidad nata de encontrar lo que cada uno de sus clientes necesita,",4,,,,3,1,0,
4,y sus clientes se han dado cuenta de ello...,5,,,,4,1,0,
5,La conocida influencer Maddy Espinosa se ha lanzado de lleno al mundo del espectáculo. ,6,,,,5,1,0,final bueno driada H.R
6,La carrera de la influencer despegó luego de que su nuevo look causara sensación en las redes sociales,7,,,,6,1,0,final bueno driada H.R
7,"""Es todo gracias a Golden Beauty, pude obtener la seguridad que necesitaba para dar un salto en mi carrera.""",8,,,,7,1,0,final bueno driada H.R
8,"Gracias al retorno de su confianza, Tito Fémur volvió a encontrar su pasión por el mundo televisivo. ",9,,,,8,1,0,EsqueletoFinalBueno
9,"Sus shows se han vuelto totalmente alocados, extravagantes e increíblemente entretenidos.",10,,,,9,1,0,EsqueletoFinalBueno
10,"""No hubiese podido volver sin la ayuda de mi queridísimo amigo, Liam Lucky."" Reclama nuestro host favorito.",11,,,,10,1,0,EsqueletoFinalBueno
11,"Por otro lado el CEO de Pedralia, Hernán Ramirez no para de crecer con su éxito empresarial ",12,,,,11,1,0,Final Bueno Minotauro
12,"Las ganancias de la empresa aumentaron un 30%, lo que también se vio reflejado en el salario de sus trabajadores.",13,,,,12,1,0,Final Bueno Minotauro
13,"""Es necesario ser un poco autocritico con uno mismo, gracias Golden Beauty por enseñarmelo"" Comentó el CEO.",14,,,,13,1,0,Final Bueno Minotauro
14,"Para sorpresa de los amantes de la lectura, el escritor Gobey Avalor ha aparecido en una convención.",15,,,,14,1,0,final bueno golem corregido
15,"Su meet reunió a más de 10000 almas. Muchos resaltaron que, pese a su personalidad tímida, se veía seguro de sí. ",16,,,,15,1,0,final bueno golem corregido
16,"Gobey le dijo a la prensa alegremente: ""Gracias a Golden Beauty comenzaré a hacer presencia más seguido.""",17,,,,16,1,0,final bueno golem corregido
17,"Por otro lado, la exéntrica modelo, Renata Caldero se convirtió en un nuevo estandar de belleza.",18,,,,17,1,0,BrujaFinalMaloOriginal
18,"Cada vez más mostruos quieren parecerse a Renata, e inspiró a muchas niñas brujas y trolls a sentirse hermosas.",19,,,,18,1,0,BrujaFinalMaloOriginal
19,"Actualmente, Renata participa en más de 20 marcas de productos de belleza, entre ellos los labiales Poison.",20,,,,19,1,0,BrujaFinalMaloOriginal
20,"""Nunca debí dudar de mi misma. Gracias, mi queridísimo Liam, por creer en mi hechizante belleza!! Muejeje""",21,,,,20,1,0,BrujaFinalMaloOriginal
21,"Darel Crescent, el famoso actor, impresionó en su nueva obra donde demostró su versatilidad en la actuación.",22,,,,21,1,0,ElfoFinalBueno
22,"Las fans decidieron apodarlo: ""El Cambiaroles"", apodo el cual el actor se mostró muy alegre de haber adquirido.",23,,,,22,1,0,ElfoFinalBueno
23,"""Si hay a quien tengo que agredecer por ayudarme a ser quien soy ¡Es a Golden Beauty!""",24,,,,23,1,0,ElfoFinalBueno
24,"En cuanto a Liam Lucky, ahora tiene cientos por semana, un record en la industria del estilizado.",25,,,,24,1,0,
25,"Sin embargo, Liam no piensa extenderse a nuevas cadenas. Aquí sus propias palabras:",26,,,,25,1,0,
26,"""Amo Golden Beauty, amo a mis clientes, y amo estilizar. Sean driadas, brujas, esqueletos, duendes o dragones.""",27,,,,26,1,0,
27,"""Debo darle a cada uno de ellos todo de mí mismo, aun si eso significa mantener un solo local.""",28,,,,27,1,0,
28,"""De todos modos, la riqueza es poco novedosa en Biothelia. ¿Pero la belleza real? Eso SÍ que merece la pena.""",29,,,,28,1,0,
29,"La situación de los cambiaformas ha puesto una traba en establecimientos, pero Liam no parece perturbado.",30,,,,29,1,0,
30,"""Sería algo hipócrita de mi parte criticar a alguien por querer cambiar de forma, ¿No lo cree?""",31,,,,30,1,0,
31,"""Tengan la apariencia que tengan o no tengan, todos son bienvenidos aquí.""",32,,,,31,1,0,
32,"Muy bellas palabras, quizás todos debamos aprender algo de Liam y Golden Beauty.",33,,,,32,1,0,
33,Ha sido un placer reportar para ustedes esta Semana de la alianza. ¡Espero que disfruten de este mágico día!,40,,,,33,1,0,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,34,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
64,final,,,,,,,,