nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros,,,https://docs.google.com/drawings/d/1dX6h0tm4WJk1n6T7rdM9_JaLChA5c5M5rV31k2rjFug/edit?usp=sharing
1,"¡Muy buenas tardes, Sr. Liam! Le pido disculpas por la demora, mi turno empezaba hace media hora, ¿cierto? Rayos...",2,,,,,1,0,,,
2,Le prometo que no fue mi culpa... Hoy estaba especialmente ajetreado.,,3,4,5,1,1,0,,,
3,¿En serio? ¿Qué sucedió?,6,,,,2,0,1,,,
4,"Sí, en fin. Dime qué es lo que andas buscando.",15,,,,2,0,1,,,
5,"Tsk, tsk, tsk. Ya es la segunda vez que llega tarde a su turno...",20,,,,2,0,1,,,
6,Sí... algo. ¡A veces la gente es muy desagradable! Admito que hoy me ocurrió algo molesto.,7,,,,3,1,0,,,
7,"Seguro estés enterado, pero mañana es el día de la Alianza, un día muy importante para nosotros, los monstruos.",8,,,,6,1,0,,,
8,Y... siempre para estas fechas hay mucho revuelo con esos conspiracionistas y sus manifestaciones.,9,,,,7,1,0,,,
9,"Cuando volé apresurada con mi bebé, uno de esos idiotas me gritó algo muy desagradable.",10,,,,8,1,0,,,
10,"Creo que fue algo como: ""¡Largo de mi camino, bruja fea!""",11,,,,9,1,0,,,
11,"Digamos que... yo andaba con prisa, ¡pero le regalé unos segundos de mi tiempo para convertirlo en sapo! Muejejejeje.",12,,,,10,1,0,,,
12,¡No es mi culpa ser tan imposible de ignorar!,,13,14,,11,1,0,,,
13,Y... con esa verruga...,27,,,,12,0,1,,,
14,Lamento que haya pasado por eso.,28,,,,12,0,1,,,
15,"Me dedico a las artes oscuras. Siempre rodeada de cráneos y calderos, pero a veces una chica se cansa de esas cosas.",16,,,,4,1,0,,,
16,"Y me encanta, pero suficiente. Basta de lo gótico, por favor. Arriba el animo.",17,,,,15,1,0,,,
17,"Necesito algo más novedoso, ¡algo más maléfico!",18,,,,16,1,0,,,
18,"Amo las bromas y los amuletos con maleficios, ¡pero solo a quienes se lo merecen!",19,,,,17,1,0,,,
19,"No lo olvides, ¡soy una bruja con principios! Muejeje.",38,,,,18,1,0,,,
20,"Y dicen que la tercera es la vencida, muejejejeje.",21,,,,5,1,0,,,
21,"Respecto a lo anterior, prometo que llegaré en horario la próxima vez. Y puedo traerle una poción de regalo~",,22,23,,20,1,0,,,
22,"No se preocupe, solo déjeme ayudarle ahora.",25,,,,21,0,1,,,
23,El soborno no la va a llevar a ningún lado. Debe llegar a tiempo.,24,,,,21,0,1,,,
24,Okay... lo siento.,40,,,,23,1,0,,,
25,"Hazme más hermosa, o sea... ¡más de lo que ya soy!",26,,,,22,1,0,,,
26,"Algo atrevido, brillante, pero que no esconda mi verdadera escencia.",40,,,,25,1,0,,,
27,...,40,,,,13,1,0,,,
28,"¡No te preocupes, ya no me importa tanto como antes!",29,,,,14,1,0,,,
29,De pequeña siempre me molestaban con mi nariz o mi verruga.,30,,,,28,1,0,,,
30,"Era especialmente triste. Cuando me vestía de princesa, me decían que una bruja nunca podría ser una princesa.",31,,,,29,1,0,,,
31,"Las brujas son feas, son malvadas. Las brujas no merecen una historia con un final feliz.",32,,,,30,1,0,,,
32,"No soy como las ninfas, sirenas o hadas, y jamás seré como ellas... pero no creo que eso sea malo.",33,,,,31,1,0,,,
33,"Tengo verrugas, piel verde y nariz grande, y eso está bien.",34,,,,32,1,0,,,
34,Oh... ¡Hablé demasiado sin darme cuenta! Muejeje.,35,,,,33,1,0,,,
35,"Hace mucho no hablo con alguien de estas cosas... Se siente bien, gracias por escucharme, Sr. Liam.",36,,,,34,1,0,,,
36,¡Eres... realmente eres muy amable!,37,,,,35,1,0,,,
37,Confío en que usted sabrá qué hacer~,21,,,,36,1,0,,,
38,Creo que tengo una idea.,40,,,,19,0,1,,,
39,Es decir... no sé...,25,,,,,0,1,,,
40,,,,,,,,,,,